"url","url-block","image","title","comment"
"https://www.vaporfi.com/",".product-image",".product-image",".Product-name",".//.$2aptcha.cant.do"
"http://www.aldcigarette.com/",".Box.imgh",".imgBox",".title.textovers",". //.Visit.the.website.again.after.the.website.obtains.an.ICP.filing."
"https://www.smoktech.com/",".product-list-cover","..lazyloaded",".product-name ",".//.angular -.will.probably.suck.at.loading"
"https://lotolabs.com",".woocommerce-LoopProduct-link.woocommerce-loop-product__link",".attachment-woocommerce_thumbnail.size-woocommerce_thumbnail",".woocommerce-loop-product__title",". //.was.in.database"
"https://www.vivant.com",".product-image",".regular_img",".Product-name",". //.was.in.db -.updated"
"http://www.aspirecig.com/",".button.small",".listingProductImage",".indexProductsName",
"http://www.vapecov.com/new-releases/",".grid-link",".ImageWrapper",".grid-link__title",
"https://www.beposh.net/",".b_beposh_product-teaser",".b_beposh_product-teaser__link.product-image",".b_beposh_product-teaser__product-name.product-name",
"https://www.innocigs.com/kontakt.html",".startpage_product",".img",".products_top_left",
"https://smokingvapor.com",".new-div-product-item",".ProductItem__Image.Image--fadeIn.lazyautosizes.Image--lazyLoaded",".ProductItem__Title.Heading",
"http://www.sigelei.com/",".pro_list_title",".pro_list_img",".pro_list_title",
"http://www.laisimo.com/",".js_con",".img-responsive",".js_con",
"http://snowwolfvape.com/index.html",".pic-link",".pic-link",".product-title",
"http://www.yihisxmini.com/",".tu",".bbg",".title",
"http://www.unik-tech.com/",".zoomWindowContainer",".post-thumb",".product-title",
"http://www.kamrytech.com/category/news",".plain ",".box-image",".uppercase.portfolio-box-title",
"http://e-phoenix.ch/",".list-col4 ",".secondary_image",".product-name",
"http://www.seegovapor.com/",".item",".product-image",".item-title",
"https://www.atmosrx.com/",".Image_Wrapper_Link",".showcase-img",".showcase-title",
"https://www.halocigs.com/",".item.product.product-item",".product-image-photo",".product.name.product-item-name",
"http://smoant.com/",".sppb-addon-content",".sppb-img-responsive.jch-lazyloaded",".sppb-addon-title",
"http://www.hotcigtech.com/",".w-list-link",".w-list-pic",".w-list-title",
"https://www.platinumvapeshiram.com/",".wk-category-auction",".secondary",".title",
"https://www.complyfe.com/",".product-link",".image-cont",".title",
"http://www.sztobeco.com/",".pro-module",".pic-module",".code",
"https://www.drdabber.com/blogs/news",".tt-image-box",".tt-img",".tt-title",
